amountRaised,campaignTitle,currencyType,endDate,goal,numberContributors,story,url
0,50 Lakhs Need for Releasing the Film PANCHALI,U.S. Dollar,,of $90k goal,0,"I am A.P.Chandra Bose film director/producer For the past 18 years have struggled to become a good film director
  here in Tamil film industry.But no chance for the opening from
  producers.I started my carrier by my own production company Micro Media Films and produced the film
  PANCHALI.Fully Completed with good quality and classic work of
  creativity.My film is ready for Release..but no buyers or
  distributors.Planing for own release all over the world.Need fun for
  Ads and Theater rent.After Releasing this film PANCHALI that I will
  get many film producer for future projects.Hope You Help me. Need money around 50 lakhs INR. Thank you Regards for Micro Media Films A.P.Chandra Bose whatssApp +919094323953 Email: micromediafilms@yahoo.com",https://fundrazr.com/71MS09
3,Help me to become an Animation Artist,U.S. Dollar,,of $8k goal,1,"I studied at the Instituto de Diseño de Caracas, Venezuela and I got
  graduated from Illustration. My dream has always been to work in
  animation. In order to achieve it, I would like to enroll in a Visual
  Development degree in San Francisco or Los Angeles I want to study visual development because I could improve my skills
  and create new ones to show my talents and pursue my dreams Unfortunately, my country is facing a strong political and economic
  crisis. It has been impossible for me and my family to pay a course abroad. This Fund would be oriented to pay a degree in visual development, in
  San Francisco, this includes classes like Perspective for Characters
  & Environment, Story Development, Cityscape Painting, among others. Anything you send to support this work is greatly appreciated. To learn more about my work please visit my Instagram account @aduahc
  or click here https://www.behance.net/Aduahernandez Enjoy! Thank you so much for helping me to make my dreams come true :) If you would like to learn more about the career program click here https://www.academyart.edu/academics/visual-development/graduate#",https://fundrazr.com/b1HHH3
"2,345",Help finish queer Harlem Renaissance music short,U.S. Dollar,,of $10k goal,20,"Shoga Films has been making documentaries about the intresection of race and sexuality for over a
  decade with multiple film festival screening and garnering some awards
  along the way. We are now attempting our most ambitious project yet,
  an historical retrieval of the under-appreciated participation of gays
  and lesbians in the Harlem Renaissance. Unlike our previous films,
  this will require a major budget of well over $200,000. HOWEVER, we
  are starting  with a smaller piece, ""Congo Cabaret,"" that
  will prime the pump for further donations, grant applications, and the
  building of our community and audience. We recently completed a successful Kickstarter campaign to
  (inadequately) cover the costs of production of a short music film
  based on an adaptation of a Harlem Renaissance novel authored by
  Claude McKay, a gay writer of the period. That has been beautifully
  filmed but, we still need funds for post-production: editing,
    sound mixing, color correction, publicity and distribution . “Congo Cabaret” is a short music film based on a slice of Harlem
    Renaissance life from gay writer Claude McKay’s then-bestselling
    novel, Home to Harlem . Adapted by Quincy Gossfield ( The DL Chronicles ) and
    Robert Philipson ( Body and Soul: An American Bridge ),
    ""Congo Cabaret"" beautifully contextualizes  a knock-out
    performance of a Bessie Smith song by rising star Parisa Fitz-Henley
    (NBC's Midnight, Texas ). Featuring veteran actors Kevin
    Daniels ( Modern Family ) and Darryl Stephens ( Noah's
    Arc ), ""Congo Cabaret"" combined lush cinematography
    with finely nuanced acting. You will be amazed at how much this
    (projected) 15-minute short packs into its lean profile. This
    gorgeous footage, the creation of directors Deondray and Quincy
    Gossfield, must come to fruition. Please help us get there! If you can't donate yourself, share this link with those for
    whom the recuperation of Black queer history is important, as well
    as for those who want to support fine independent filmmaking. Shoga Films is a 501(3)c non-profit organizations. All
    donations are tax deductible! Watch our uber talented directors Deondray and Quincy Gossfield talk
  about his joy in bringing out the queer side of the Harlem Renaissance
  through their artistry. And who is this mystery man? Help us raise $ to finish
  post-production, so you can see....",https://fundrazr.com/queerHR1927
264,Help to pay for bleedingcritic.com's hosting fees,Pound Sterling,,of £400 goal,8,"@BleedingCritic DON'T PANIC IF YOUR SCREEN STARTS TO BLEED http://bleedingcritic.com is where horror fans
    are actually seen. + your short films, video reviews & audio stories. I appreciate your contribution towards a years web hosting plus
  increased security & improved google SEO. - Bleeding Critic",https://fundrazr.com/e1GuYe
"1,025",FILMS FOR FIVE HUNDRED!,Pound Sterling,,of £500 goal,50,"BE A LIGHT IN
    THE DARK PLAY 4 CALAIS brings pop-up cinema and play-time to the 600+
    children and 6000+ adults living in The Jungle in Calais. With
    little to do and tensions high, refugees are desperate for respite
    care and community building activities to take part in. A few brief hours of cinema screenings and play-time helps
    people take their minds off the pain and trauma they've already
    experienced and often continue experiencing. Every trip we make,
    myself and the volunteers are always met with open arms and great
    smiles and asked to return again as soon as possible... Which costs
    money. So, funds permitting, we head to Calais as often as we can;
    as such, our fundraising efforts are ongoing. PLAY 4 CALAIS is hosted by the Women and Children's Centre and
      The Baloo's Boys Youth Centre. We are generously supported by The Lexi Cinema in
      London https://thelexicinema.co.uk and
      roaming pop-up cinema The Nomad http://www.whereisthenomad.com with
      technical equipment. Find us on: Facebook Twitter Instagram",https://fundrazr.com/2193V9
200,3D Printing Inspiration Class Visit to Art Museum,U.S. Dollar,,of $200 goal,3,"My name is Elena Chiovaro, and I am an art teacher at Aloha High
    School. During the spring semester, my advanced drawing students
    will be starting a unit on 3D printing. They will be designing
    original characters and creating 3-dimensional models of these
    characters to be printed. LAIKA Animation Studios are pioneers of 3D printing technology.
     It is the base used in the skeletons for their stop-motion
    animation puppets. Currently, the Portland Art Museum has an
    exhibition of LAIKA's 3D printed puppets and other crafted materials
    used in their films. Not only is it an exceptional example of how 3D
    printing can be used as an art form, but L AIKA studios are
    based in Hillsboro, giving our students exposure to incredible
    art and technology being used locally. We would like to take the students to the LAIKA exhibit to
    inspire their work in 3D printing and character design. This exhibit
    is a once in a lifetime opportunity for Aloha students to see
    LAIKA's craftsmanship up close. The funds raised would pay for the cost of bus transportation
    for 40 students.",https://fundrazr.com/AHS_MUSEUM_3D
5,WE GOTTA GET HIM A GPU!!!,U.S. Dollar,,of $170 goal,1,,https://fundrazr.com/a1Cyfa
341,Third Grade Stop Motion Animation Extravaganza,U.S. Dollar,,of $341 goal,8,"My name is Damiana King and I teach third grade at Ridgewood
  Elementary School. My 23 students love using the iPads to show their
  learning. Students will be making stop motion animation to show their
  understanding of life cycles. But that is just the beginning, with
  these items in our classroom it opens up the possibility of many more projects! I am asking for the following: 5 iPad stands $95 ($19 each ) 4 microphones $96 (2 lavalier
  microphones $22 each and 2 table top microphones $26 each) 3 mini recording studios $150 ($50 each) Please help our class create stop motion! Thank you!",https://fundrazr.com/Stop_Motion_Extravaganza
"1,085",22: A Film About Veterans,,,,,"Who We are Rescue Doc Films is a 501(c)(3) not-for-profit media company committed to producing educational, challenging and socially
    relevant media to strengthen human and animal rights. The Cause In April of 2016, Rescue Docs was honored to document the Shepherd’s
  Men run from Boston to Atlanta. They each ran 22km per day wearing 22
  pounds for 9 days. The number 22 signifies the number of veterans that
  commit suicide every day. It’s a staggering number and one that we
  must bring to zero. We made a short film that chronicled the incredible efforts being
  made by the Shepherd's Men to raise money and awareness for the life
  saving work being done by the SHARE Military Initiative. As soon as we
  met the Shepherd's Men, we knew there was a much larger film that
  needed to be made. That film is 22. SHARE Military Initiative at Shepherd Center is a comprehensive
  rehabilitation program that focuses on assessment and treatment for
  service men and women who have sustained a mild to moderate traumatic
  brain injury and PTSD from the Afghanistan and Iraqi conflicts. 22 will tell the stories of these service men and women who
  volunteered to serve their country as they struggle to regain a normal
  civilian life. It is our hope that this film will let veterans
  struggling with PTSD and traumatic brain injuries know that they are
  not alone and it's OK to ask for help. Making The Film Making this film will require funds for equipment, crew, travel,
  editing, music, graphic design, marketing, festival submission fees,
  and much more. We have a proven track record of making films under
  budget and putting them to work for the causes that need them. How You Can Help We need your help to raise the funds necessary to make this film.
  With perks starting at $10 for a digital download of the film once
  it's completed to $1000 to become an Associate Producer of the film,
  there are ways that anyone can help. We also depend on you to share
  the campaign with your friends and family on social media. Thank You! Filmmaking is a collaborative art form, from camera operators to
  donors, every role on the team is imperative. Without your help, we
  simply would not be able to make this vitally important film. Thank you in advance for your consideration, Michael Samstag & Josh Gildrie Rescue Doc Films",https://fundrazr.com/22thefilm
160,Joshua's studio equipment,U.S. Dollar,,of $1.5k goal,4,"My name is Joshua Bradley, I am 15 years old. I’m currently a
    sophomore in high school. I am looking for funding to start creating
    some films. I first gained interest in video making after taking a
    video editing class my freshman year of high school. I currently am
    in need of: two to three cameras, a tripod for each, a backdrop
    stand, lights, and several microphones. With this I will be able to
    make quality videos with the techniques that I have learned. I’m
    extremely excited to get started! Some kids could receive these items in a series of Christmas and
    or birthday presents, but when you grow up in a family with 10
    children like me anything that you get is either a hand-me-down that
    has gone through a couple of your siblings, or it comes from a
    thrift store (mainly from the Goodwill). I work hard when I’m not at school, but it’s not to earn money.
    Every day after school I am either babysitting my younger siblings
    or my 2 and 3 year old nieces, taking care of my family’s 126
    rabbits (recently went up to 134 with the birth of the birth of two
    more litters), 14 pigs, 4 chickens, 9 dogs, and a cat (I only
    approve of the cat), or in the summer working landscaping jobs with
    my dad. The work I do with my dad helps pay for my clothes from
    Goodwill. I'm sorry i got a little off topic, but this fundraiser will be
    able to help me pursue a future in filmmaking, who knows maybe i'll
    make one of the next major films after i go to college and get
    degrees in Film, Animation, Audio, & Entertainment Business.
    Before I can do this I will need to learn as much as I can on my own. Thank you for your contribution, time, and consideration. I look
    forward to sharing the masterpieces I will be able to create with
    your help.",https://fundrazr.com/21Jg36
